resume_id,resume_text,job_title,job_description,expected_job
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,Software Development Engineer
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,Software Development Engineer
R3,Python Java software engineering DSA OOP PostgreSQL REST APIs Git testing,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,Software Development Engineer
R4,C++ Java algorithms OOP SQL Linux Git backend APIs distributed systems,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,Software Development Engineer
R5,Java Python Spring Boot REST APIs SQL DSA OOP Git Docker,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,Software Development Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,AI Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,AI Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,AI Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,AI Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,AI Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,AI Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,AI Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,AI Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,AI Engineer
R6,Python artificial intelligence machine learning deep learning TensorFlow PyTorch NLP model training transformers,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,AI Engineer
R7,Python machine learning computer vision deep learning scikit learn PyTorch model evaluation NLP,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,AI Engineer
R8,Python AI deep learning TensorFlow NLP transformers machine learning computer vision,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,AI Engineer
R9,Python artificial intelligence supervised learning PyTorch NLP feature engineering model evaluation,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,AI Engineer
R10,Python machine learning deep learning NLP computer vision TensorFlow PyTorch generative AI,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,AI Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,Machine Learning Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,Machine Learning Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,Machine Learning Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,Machine Learning Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,Machine Learning Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,Machine Learning Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,Machine Learning Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,Machine Learning Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,Machine Learning Engineer
R11,Python machine learning supervised learning feature engineering scikit learn model training TensorFlow MLOps,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,Machine Learning Engineer
R12,Python ML algorithms feature engineering PyTorch TensorFlow model evaluation deployment,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,Machine Learning Engineer
R13,Python scikit learn machine learning deep learning model training statistics feature engineering,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,Machine Learning Engineer
R14,Python TensorFlow PyTorch supervised learning model evaluation cloud ML deployment,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,Machine Learning Engineer
R14,Python TensorFlow PyTorch supervised learning model evaluation cloud ML deployment,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,Machine Learning Engineer
R14,Python TensorFlow PyTorch supervised learning model evaluation cloud ML deployment,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,Machine Learning Engineer
R14,Python TensorFlow PyTorch supervised learning model evaluation cloud ML deployment,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,Machine Learning Engineer
