job_title,skill,weight
Technical Business Analyst,System Analysis,5
Technical Business Analyst,Technical Documentation,4
Technical Business Analyst,Communication,5
AI Solutions Consultant,Generative AI,5
AI Solutions Consultant,Large Language Models,5
AI Solutions Consultant,Python,4
AI Solutions Consultant,Retrieval Augmented Generation,5
AI Solutions Consultant,Machine Learning,4
AI Solutions Consultant,Prompt Engineering,4
AI Solutions Consultant,Vector Databases,4
AI Solutions Consultant,Cloud Computing,3
AI Solutions Consultant,Solution Architecture,5
AI Solutions Consultant,Stakeholder Management,5
Product Engineer,Python,4
Product Engineer,Java,4
Product Engineer,JavaScript,4
Product Engineer,Data Structures,4
Product Engineer,Algorithms,4
Product Engineer,Object Oriented Programming,4
Product Engineer,SQL,3
Product Engineer,REST API,4
Product Engineer,Docker,3
Product Engineer,Git,3
Data Platform Engineer,Python,5
Data Platform Engineer,SQL,5
Data Platform Engineer,Data Engineering,5
Data Platform Engineer,Apache Spark,5
Data Platform Engineer,PySpark,5
Data Platform Engineer,ETL,5
Data Platform Engineer,Data Pipelines,5
Data Platform Engineer,AWS,4
Data Platform Engineer,Docker,3
Data Platform Engineer,Linux,3
Embedded Software Engineer,C,5
Embedded Software Engineer,C++,5
Embedded Software Engineer,Embedded Linux,5
Embedded Software Engineer,Firmware,5
Embedded Software Engineer,Operating Systems,4
Embedded Software Engineer,Computer Architecture,4
Embedded Software Engineer,Git,3
IoT Software Engineer,Python,4
IoT Software Engineer,Java,4
IoT Software Engineer,IoT,5
IoT Software Engineer,MQTT,5
IoT Software Engineer,REST API,4
IoT Software Engineer,AWS,4
IoT Software Engineer,Linux,4
IoT Software Engineer,Networking,4
IoT Software Engineer,Edge Computing,5
Blockchain Developer,Blockchain,5
Blockchain Developer,Solidity,5
Blockchain Developer,Ethereum,5
Blockchain Developer,Smart Contracts,5
Blockchain Developer,Web3,5
Blockchain Developer,Cryptography,4
Blockchain Developer,JavaScript,4
Blockchain Developer,Python,3
