job_title,job_description,required_skills,preferred_skills
Generative AI Engineer,"We are seeking a Generative AI Engineer to build production-ready applications using Large Language Models and modern AI technologies. Required experience includes Python Generative AI Natural Language Processing LLMs Retrieval-Augmented Generation embeddings vector databases and prompt engineering. Experience with LangChain Hugging Face Transformers PyTorch and API-based LLM services is preferred.","Python|Generative AI|Natural Language Processing|Large Language Models|LLMs|Retrieval-Augmented Generation|Embeddings|Vector Databases|Prompt Engineering","LangChain|Hugging Face|Transformers|PyTorch|LLM APIs|FastAPI|Docker|Git|AWS|Databases|Agentic AI|Tool Calling|Model Evaluation"
NLP Engineer,"We are looking for an NLP Engineer to develop systems that understand process and generate human language. Strong Python Natural Language Processing machine learning and deep learning knowledge is required. Experience with text preprocessing tokenization embeddings semantic similarity text classification named entity recognition sentiment analysis and information extraction is expected.","Python|Natural Language Processing|Machine Learning|Deep Learning|Text Preprocessing|Tokenization|Embeddings|Semantic Similarity|Text Classification","Named Entity Recognition|Sentiment Analysis|Information Extraction|PyTorch|TensorFlow|Scikit-learn|Hugging Face|Transformers|Large Language Models|Generative AI|RAG|Vector Databases|LangChain"
Computer Vision Engineer,"We are seeking a Computer Vision Engineer to develop image and video understanding systems. Strong Python computer vision image processing and deep learning experience is required. Hands-on experience with OpenCV PyTorch TensorFlow CNNs and image classification is expected. Knowledge of object detection image segmentation feature extraction data augmentation and model evaluation is preferred.","Python|Computer Vision|Image Processing|Deep Learning|OpenCV|PyTorch|TensorFlow|CNN|Image Classification","Object Detection|Image Segmentation|Feature Extraction|Data Augmentation|Model Evaluation|NumPy|Pandas|Scikit-learn|Docker|Git|AWS|Explainable AI|Model Optimization"
Data Engineer,"We are looking for a Data Engineer to design build and maintain scalable data pipelines. Strong Python SQL ETL and database knowledge is required. Experience with Apache Spark PySpark Hadoop HDFS and distributed data processing is highly desirable. Experience with Apache NiFi data ingestion workflow automation and large-scale datasets is preferred.","Python|SQL|ETL|Database|Data Pipelines","Apache Spark|PySpark|Hadoop|HDFS|Distributed Data Processing|Apache NiFi|Data Ingestion|Workflow Automation|AWS S3|EC2|Docker|Linux|Git|Data Modeling"
Cloud Data Engineer,"We are seeking a Cloud Data Engineer to build scalable cloud-based data platforms and processing pipelines. Strong Python SQL AWS and data engineering skills are required. Experience with S3 EC2 Spark PySpark ETL pipelines HDFS and distributed systems is preferred.","Python|SQL|AWS|Data Engineering|ETL","S3|EC2|Spark|PySpark|ETL Pipelines|HDFS|Distributed Systems|Apache NiFi|Docker|Git|Linux|Pandas|NumPy|AWS Glue|Redshift"
MLOps Engineer,"We are seeking an MLOps Engineer to build infrastructure automation and deployment systems for machine learning applications. Strong Python machine learning Docker Git CI/CD and cloud experience is required. Experience with Kubernetes AWS MLflow model deployment monitoring and experiment tracking is highly desirable.","Python|Machine Learning|Docker|Git|CI/CD|Cloud","Kubernetes|AWS|MLflow|Model Deployment|Model Monitoring|Experiment Tracking|FastAPI|Flask|PyTorch|TensorFlow|Scikit-learn|Terraform|Jenkins|Linux"
DevOps Engineer,"We are looking for a DevOps Engineer to automate software delivery infrastructure and operational processes. Experience with Linux Git Docker Kubernetes CI/CD and cloud platforms such as AWS Azure or GCP is required. Knowledge of Jenkins GitHub Actions Terraform Ansible and infrastructure as code is preferred.","Linux|Git|Docker|Kubernetes|CI/CD|AWS|Azure|GCP","Jenkins|GitHub Actions|Terraform|Ansible|Infrastructure as Code|Python|Shell Scripting|Monitoring|Networking|Security|Databases"
Cloud Engineer,"We are seeking a Cloud Engineer to design deploy and maintain scalable cloud infrastructure. Strong knowledge of AWS Azure or GCP and Linux is required. Experience with compute storage networking databases Docker and Kubernetes is preferred. Candidates should understand AWS EC2 S3 IAM VPC and cloud security fundamentals.","AWS|Azure|GCP|Linux|Cloud Computing","Compute|Storage|Networking|Databases|Docker|Kubernetes|EC2|S3|IAM|VPC|Cloud Security|Terraform|CI/CD|Git|Monitoring|Python"
Site Reliability Engineer,"We are looking for a Site Reliability Engineer to improve reliability availability scalability and performance of production systems. Strong Linux networking cloud computing Docker Kubernetes and monitoring knowledge is required. Experience with Python or other scripting languages Git CI/CD and infrastructure automation is preferred.","Linux|Networking|Cloud Computing|Docker|Kubernetes|Monitoring","Python|Scripting|Git|CI/CD|Infrastructure Automation|AWS|Azure|GCP|Terraform|Databases|Distributed Systems|Observability|Fault Tolerance|Incident Response"
Cloud Security Engineer,"We are seeking a Cloud Security Engineer to secure cloud infrastructure applications and data. Strong knowledge of AWS Azure or GCP IAM networking Linux containers and security principles is required. Experience with Docker Kubernetes Terraform and cloud security controls is preferred.","AWS|Azure|GCP|IAM|Networking|Linux|Cloud Security|Security Principles","Docker|Kubernetes|Terraform|Cloud Security Controls|Vulnerability Management|Incident Response|Encryption|Authentication|Authorization|Git|CI/CD|DevSecOps|Security Monitoring"
Cybersecurity Analyst,"We are looking for a Cybersecurity Analyst to monitor systems identify threats investigate security incidents and improve organizational security. Strong understanding of networking operating systems authentication access control and cybersecurity fundamentals is required. Knowledge of SIEM tools vulnerability assessment incident response firewalls IDS IPS and endpoint security is preferred.","Networking|Operating Systems|Authentication|Access Control|Cybersecurity","SIEM|Vulnerability Assessment|Incident Response|Firewalls|IDS|IPS|Endpoint Security|Linux|Python|Security Monitoring|AWS|IAM|Encryption|Compliance"
Network Security Engineer,"We are seeking a Network Security Engineer to design monitor and secure enterprise networks. Strong knowledge of Computer Networks TCP/IP routing switching firewalls VPNs IDS IPS and network security is required. Experience with Linux security tools and cloud networking is preferred.","Computer Networks|TCP/IP|Routing|Switching|Firewalls|VPNs|IDS|IPS|Network Security","Linux|Security Tools|Cloud Networking|AWS VPC|Azure Networking|Authentication|Encryption|Vulnerability Assessment|Python|Automation"
QA Automation Engineer,"We are looking for a QA Automation Engineer to design and implement automated testing frameworks for software applications. Strong programming knowledge in Python Java or JavaScript and understanding of software testing principles is required. Experience with Selenium Playwright API testing REST APIs and test automation frameworks is preferred.","Python|Java|JavaScript|Software Testing|Test Automation","Selenium|Playwright|API Testing|REST APIs|SQL|Git|Linux|CI/CD|Docker|Performance Testing|Cloud"
Technical Consultant,"We are seeking a Technical Consultant to work with clients and engineering teams to design implement and troubleshoot technology solutions. Strong technical fundamentals and experience with Python Java SQL APIs databases and cloud platforms are preferred. Knowledge of AWS Azure or GCP Docker Linux and software development practices is beneficial.","Python|Java|SQL|APIs|Databases|Cloud Platforms","AWS|Azure|GCP|Docker|Linux|Software Development|Networking|Software Architecture|System Integration|Data Engineering|Machine Learning|Enterprise Applications"
Solutions Engineer,"We are looking for a Solutions Engineer to help customers design evaluate and implement technical solutions. Strong understanding of software engineering APIs databases cloud computing and system architecture is required. Experience with Python Java SQL REST APIs AWS Docker and Git is preferred.","Software Engineering|APIs|Databases|Cloud Computing|System Architecture","Python|Java|SQL|REST APIs|AWS|Docker|Git|Machine Learning|Generative AI|Data Engineering|Cybersecurity|Proof of Concepts|Enterprise Integration"
Technical Business Analyst,"We are seeking a Technical Business Analyst to bridge business requirements and technology implementation. Strong analytical skills and understanding of software development databases SQL APIs and system architecture are required. Responsibilities include gathering requirements documenting functional and technical specifications analyzing workflows creating process diagrams coordinating with engineering teams and supporting solution validation.","Analytical Skills|Software Development|Databases|SQL|APIs|System Architecture|Requirements Gathering","Agile|Scrum|Cloud Platforms|Data Analysis|Python|Data Engineering|Machine Learning|Enterprise Software|SDLC|Process Diagrams|Stakeholder Management"
Software Test Engineer,"We are seeking a Software Test Engineer to validate software quality through functional integration regression and automated testing. Candidates should understand software development lifecycle testing methodologies debugging and defect management. Programming experience in Java Python or JavaScript is preferred. Knowledge of SQL REST APIs Git Linux and CI/CD is beneficial.","Software Testing|Software Development Lifecycle|Testing Methodologies|Debugging|Defect Management","Java|Python|JavaScript|SQL|REST APIs|Git|Linux|CI/CD|Selenium|Playwright|Postman|API Testing|Docker|Cloud Platforms|Agile"
Product Engineer,"We are looking for a Product Engineer to build customer-facing software products across the development lifecycle. Strong programming skills in Java Python JavaScript or TypeScript and knowledge of Data Structures Algorithms Object Oriented Programming and databases are required. Experience with REST APIs Git SQL Docker and cloud deployment is preferred.","Java|Python|JavaScript|TypeScript|Data Structures|Algorithms|Object Oriented Programming|Databases","REST APIs|Git|SQL|Docker|Cloud Deployment|React|Node.js|Spring Boot|FastAPI|Flask|Machine Learning|Generative AI|Data Engineering"
AI Solutions Consultant,"We are seeking an AI Solutions Consultant to help organizations identify and implement practical AI solutions. The candidate should understand Python machine learning Generative AI Large Language Models Natural Language Processing and Retrieval-Augmented Generation. Experience with LangChain APIs vector databases embeddings and prompt engineering is highly desirable.","Python|Machine Learning|Generative AI|Large Language Models|Natural Language Processing|Retrieval-Augmented Generation","LangChain|APIs|Vector Databases|Embeddings|Prompt Engineering|AWS|Azure|GCP|Docker|Databases|Software Engineering|Solution Architecture|Stakeholder Management"
Data Platform Engineer,"We are looking for a Data Platform Engineer to build infrastructure supporting analytics machine learning and large-scale data processing. Strong Python SQL data engineering and distributed systems knowledge is required. Experience with Spark PySpark ETL pipelines cloud storage databases and containerization is preferred.","Python|SQL|Data Engineering|Distributed Systems","Spark|PySpark|ETL Pipelines|Cloud Storage|Databases|Docker|Linux|Git|AWS S3|EC2|Apache NiFi|HDFS|Hadoop|Kubernetes|Data Quality|Monitoring"
Embedded Software Engineer,"We are seeking an Embedded Software Engineer to develop software for connected devices and embedded systems. Strong C or C++ programming knowledge and understanding of operating systems computer architecture and networking are required. Experience with embedded Linux microcontrollers firmware development debugging and hardware interfaces is preferred.","C|C++|Operating Systems|Computer Architecture|Networking","Embedded Linux|Microcontrollers|Firmware Development|Debugging|Hardware Interfaces|Python|Git|IoT Communication Protocols|Memory Management|Concurrency|Cloud Connectivity"
IoT Software Engineer,"We are looking for an IoT Software Engineer to develop software systems connecting devices sensors and cloud platforms. Strong Python or Java programming and knowledge of networking operating systems databases and distributed systems are required. Experience with MQTT REST APIs cloud platforms AWS IoT Docker and Linux is preferred.","Python|Java|Networking|Operating Systems|Databases|Distributed Systems","MQTT|REST APIs|Cloud Platforms|AWS IoT|Docker|Linux|Git|CI/CD|Monitoring|Data Engineering|Machine Learning|Edge Computing"
Blockchain Developer,"We are seeking a Blockchain Developer to design and develop decentralized applications and blockchain-based systems. Strong programming skills in JavaScript TypeScript Python or Java and understanding of data structures algorithms networking and databases are required. Knowledge of blockchain architecture distributed systems cryptography smart contracts and Web3 technologies is preferred.","JavaScript|TypeScript|Python|Java|Data Structures|Algorithms|Networking|Databases","Blockchain Architecture|Distributed Systems|Cryptography|Smart Contracts|Web3|Solidity|Ethereum|APIs|Git|Cloud Platforms|Security|Decentralized Applications"
